name,summary
Analyse des besoins,"En ingénierie des systèmes et en ingénierie logicielle, l'analyse des exigences comprend les tâches qui ont pour but de déterminer les exigences d'un système nouveau ou à modifier, en prenant en compte le conflit possible entre les exigences de diverses parties prenantes, telles que les utilisateurs. L'analyse des exigences est critique pour le succès d'un projet..
"
Analyse des causes,"L’analyse des données (aussi appelée analyse exploratoire des données ou AED) est une famille de méthodes statistiques dont les principales caractéristiques sont d'être multidimensionnelles et descriptives. Dans l'acception française, la terminologie « analyse des données » désigne donc un sous-ensemble de ce qui est appelé plus généralement la statistique multivariée. Certaines méthodes, pour la plupart géométriques, aident à faire ressortir les relations pouvant exister entre les différentes données et à en tirer une information statistique qui permet de décrire de façon plus succincte les principales informations contenues dans ces données. D'autres techniques permettent de regrouper les données de façon à faire apparaître clairement ce qui les rend homogènes, et ainsi mieux les connaître.
L’analyse des données permet de traiter un nombre très important de données et de dégager les aspects les plus intéressants de la structure de celles-ci. Le succès de cette discipline dans les dernières années est dû, dans une large mesure, aux représentations graphiques fournies. Ces graphiques peuvent mettre en évidence des relations difficilement saisies par l’analyse directe des données ; mais surtout, ces représentations ne sont pas liées à une opinion « a priori » sur les lois des phénomènes analysés contrairement aux méthodes de la statistique classique.
Les fondements mathématiques de l’analyse des données ont commencé à se développer au début du XXe siècle, mais ce sont les ordinateurs qui ont rendu cette discipline opérationnelle, et qui en ont permis une utilisation très étendue. Mathématiques et informatique sont ici intimement liées..
"
Analyse des exigences,"La gestion des exigences consiste à gérer les exigences hiérarchisées d'un projet, à détecter les incohérences entre elles et à assurer leur traçabilité.
Dans de nombreux métiers, l'expression de ces exigences donne lieu à une quantité de documents dont la cohérence et la qualité conditionnent le succès ou l'échec des projets concernés.
Il existe des logiciels spécialisés qui permettent d'aider à la réalisation de cette activité.
Certains cahiers des charges (en haute qualité environnementale appliquée au bâti, par exemple) peuvent contenir des « performanciels » et des « exigenciels », comprenant des niveaux de résultats attendus que l'architecte et la maîtrise d'œuvre s'engagent à atteindre (obligation de résultats, et parfois de moyens ; par exemple utilisation de panneaux solaires, d'isolants produits à partir de matériaux végétaux issus de l'agriculture biologique, etc.).

.
"
Analyse des risques,"Une analyse de risques est utilisée comme première étape d'un processus d'évaluation des risques. Le résultat d’une analyse des dangers est l’identification de différents types de dangers. Un danger est une condition potentielle et existe ou non (la probabilité est de 1 ou 0). Il peut, en une seule existence ou en combinaison avec d’autres dangers (parfois appelés événements), devenir un véritable échec ou accident fonctionnel (accident). La façon dont cela se passe exactement dans une séquence particulière s'appelle un scénario. Ce scénario a une probabilité d'occurrence (entre 1 et 0). Un système comporte souvent de nombreux scénarios de défaillance potentiels. Une classification lui est également attribuée, en fonction de la pire gravité de la condition finale. Le risque est la combinaison de la probabilité et de la gravité. Des niveaux de risque préliminaires peuvent être fournis dans l’analyse des dangers. La validation, la prédiction plus précise (vérification) et l'acceptation du risque sont déterminées dans l'évaluation du risque (analyse). L’objectif principal de l’un et de l’autre est de fournir la meilleure sélection de moyens permettant de contrôler ou d’éliminer le risque. Le terme est utilisé dans plusieurs spécialités de l'ingénierie, notamment l'avionique, la sécurité des processus chimiques, la sécurité, la fiabilité, la sécurité alimentaire.
Les analyses de risques peuvent être menées suivant la norme AMDEC (NF EN IEC 60812), ou suivant la démarche EBIOS pour les études de risques en matière de sécurité informatique. Ces démarches diffèrent d'autres démarches telle la DO-178B (qui n'est pas une norme mais bien une démarche employée dans le secteur de l'aéronautique).
Il faut savoir que l'analyse de risque en général est une démarche récente (datant de la fin du XXe siècle) qui n'a connu à ce jour aucun consensus normatif, seulement des démarches et des guides de recommandations (spécifiques à des secteurs d'activité)..
"
Analyse marketing,"Une stratégie marketing est une démarche d’étude et de réflexion dont le but serait de s'approcher au plus près de l’adéquation offre-demande.
Cette démarche s'inscrit au sein de la stratégie de l'entreprise ou de plans marketing d'organisations.
Il s'agit pour l'entreprise de viser à augmenter le chiffre d'affaires, les parts de marché et la permanence des clients par différenciation, motivation ou adaptation de l'offre solvable augmentant ainsi les économies d'échelle.
Dans ce cadre, le marketing stratégique, composante de la stratégie marketing, s'assure auprès des autres fonctions clés de l'entreprise (gestion de la qualité, logistique, management du système d'information, gestion des ressources humaines) de la faisabilité de l'offre.
La stratégie marketing se confond souvent avec la stratégie d'entreprise notamment dans les organisations faisant appel à un nombre restreint de métiers (de DAS) et négocie ainsi directement l'optimisation des synergies (ou flexibilité) de l'organisation et la rentabilité attendue par le service financier.
En fait, elle se résume souvent à l'élaboration d'un marketing-mix dont la cible désignée est le client..
"
Angular 2,"Angular (communément appelé « Angular 2+ » ou « Angular v2 et plus »), est un framework pour clients, open source, basé sur TypeScript et codirigé par l'équipe du projet « Angular » chez Google ainsi que par une communauté de particuliers et de sociétés. Angular est une réécriture complète d'AngularJS, cadriciel construit par la même équipe. Il permet la création d’applications Web et plus particulièrement d'applications Web monopages : des applications Web accessibles via une page Web unique qui permet de fluidifier l’expérience utilisateur et d’éviter les chargements de pages à chaque nouvelle action. Le framework est basé sur une architecture du type MVC et permet donc de séparer les données, le visuel et les actions pour une meilleure gestion des responsabilités. Un type d’architecture qui a largement fait ses preuves et qui permet une forte maintenabilité et une amélioration du travail collaboratif..
"
Angular 4,"Angular (communément appelé « Angular 2+ » ou « Angular v2 et plus »), est un framework pour clients, open source, basé sur TypeScript et codirigé par l'équipe du projet « Angular » chez Google ainsi que par une communauté de particuliers et de sociétés. Angular est une réécriture complète d'AngularJS, cadriciel construit par la même équipe. Il permet la création d’applications Web et plus particulièrement d'applications Web monopages : des applications Web accessibles via une page Web unique qui permet de fluidifier l’expérience utilisateur et d’éviter les chargements de pages à chaque nouvelle action. Le framework est basé sur une architecture du type MVC et permet donc de séparer les données, le visuel et les actions pour une meilleure gestion des responsabilités. Un type d’architecture qui a largement fait ses preuves et qui permet une forte maintenabilité et une amélioration du travail collaboratif..
"
AngularJS,"Angular (communément appelé « Angular 2+ » ou « Angular v2 et plus »), est un framework pour clients, open source, basé sur TypeScript et codirigé par l'équipe du projet « Angular » chez Google ainsi que par une communauté de particuliers et de sociétés. Angular est une réécriture complète d'AngularJS, cadriciel construit par la même équipe. Il permet la création d’applications Web et plus particulièrement d'applications Web monopages : des applications Web accessibles via une page Web unique qui permet de fluidifier l’expérience utilisateur et d’éviter les chargements de pages à chaque nouvelle action. Le framework est basé sur une architecture du type MVC et permet donc de séparer les données, le visuel et les actions pour une meilleure gestion des responsabilités. Un type d’architecture qui a largement fait ses preuves et qui permet une forte maintenabilité et une amélioration du travail collaboratif..
"
AutoCAD,"AutoCAD est un logiciel de dessin assisté par ordinateur (DAO) créé en décembre 1982 par Autodesk.
En 1992, AutoCAD est développé pour Mac OS et pour Windows en 1994..
"
AutoCAD Architecture,"AutoCAD est un logiciel de dessin assisté par ordinateur (DAO) créé en décembre 1982 par Autodesk.
En 1992, AutoCAD est développé pour Mac OS et pour Windows en 1994..
"
AutoCAD Mechanical,"AutoCAD est un logiciel de dessin assisté par ordinateur (DAO) créé en décembre 1982 par Autodesk.
En 1992, AutoCAD est développé pour Mac OS et pour Windows en 1994..
"
AutoCAD Civil 3D,"AutoCAD est un logiciel de dessin assisté par ordinateur (DAO) créé en décembre 1982 par Autodesk.
En 1992, AutoCAD est développé pour Mac OS et pour Windows en 1994..
"
CSS Javascript,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML or XML (including XML dialects such as SVG, MathML or XHTML). CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript.CSS is designed to enable the separation of content and presentation, including layout, colors, and fonts. This separation can improve content accessibility; provide more flexibility and control in the specification of presentation characteristics; enable multiple web pages to share formatting by specifying the relevant CSS in a separate .css file, which reduces complexity and repetition in the structural content; and enable the .css file to be cached to improve the page load speed between the pages that share the file and its formatting.
Separation of formatting and content also makes it feasible to present the same markup page in different styles for different rendering methods, such as on-screen, in print, by voice (via speech-based browser or screen reader), and on Braille-based tactile devices. CSS also has rules for alternate formatting if the content is accessed on a mobile device.The name cascading comes from the specified priority scheme to determine which style rule applies if more than one rule matches a particular element. This cascading priority scheme is predictable.
The CSS specifications are maintained by the World Wide Web Consortium (W3C). Internet media type (MIME type) text/css is registered for use with CSS by RFC 2318 (March 1998). The W3C operates a free CSS validation service for CSS documents.In addition to HTML, other markup languages support the use of CSS including XHTML, plain XML, SVG, and XUL..
"
Cas de test,"En informatique, un test désigne une procédure de vérification partielle d'un système. Son objectif principal est d'identifier un nombre maximal de comportements problématiques du logiciel. Il permet ainsi, dès lors que les problèmes identifiés seront corrigés, d'en augmenter la qualité.
D'une manière plus générale, le test désigne toutes les activités qui consistent à rechercher des informations quant à la qualité du système afin de permettre la prise de décisions.
Un test ressemble à une expérience scientifique. Il examine une hypothèse exprimée en fonction de trois éléments : les données en entrée, l'objet à tester et les observations attendues. Cet examen est effectué sous conditions contrôlées pour pouvoir tirer des conclusions et, dans l'idéal, être reproduit..
"
Certification ITIL,"The Information Technology Infrastructure Library (ITIL)  is a set of detailed practices for IT activities such as IT service management (ITSM) and IT asset management (ITAM) that focus on aligning IT services with the needs of business.ITIL describes processes, procedures, tasks, and checklists which are neither organization-specific nor technology-specific, but can be applied by an organization toward strategy, delivering value, and maintaining a minimum level of competency.  It allows the organization to establish a baseline from which it can plan, implement, and measure.  It is used to demonstrate compliance and to measure improvement. There is no formal independent third party compliance assessment available for ITIL compliance in an organization. Certification in ITIL is only available to individuals.   
Since 2013, ITIL has been owned by AXELOS, a joint venture between Capita and the UK Cabinet Office.Since 2021 that AXELOS was acquired by PeopleCert, ITIL is owned by PeopleCert.  

.
"
Chef de Projet,"Le chef de projet (CDP) est la personne chargée de mener un projet et de gérer son bon déroulement. De manière générale, sans être systématique, il anime une équipe pendant la durée du ou des projet(s) dont il a la charge.
D'autres appellations existent pour ce type de poste (chargé/coordonnateur/responsable/gestionnaire/administrateur/directeur, etc.) et varient en fonction de l'organisation et de la taille de l'entreprise de travail.
L'ensemble de ces appellations renvoient à la notion de responsabilité en pratiquant des compétences de gestion de projet, en ayant de bonnes capacités relationnelles, ainsi que des connaissances techniques dans les domaines d'activités concernés. 
Le terme s'applique dans divers secteurs, tels que la traduction et l'interprétation, l'Urbanisme, l'Aménagement du territoire, le BTP, l'ingénierie industrielle, logicielle, le marketing et la communication, pour la conception ou la modification de produits, de services, de systèmes, ou bien la mise en place de nouveaux procédés ou démarches (par exemple la démarche qualité, l'amélioration de la productivité, ou la gestion de la relation client)..
"
Cisco,"Cisco Systems est une entreprise informatique américaine spécialisée, à l’origine, dans le matériel réseau (routeurs et commutateurs ethernet), et depuis 2009 dans les serveurs. Elle s'est depuis largement diversifiée dans les logiciels et notamment la cybersécurité. 
Fondée en 1984 par un couple d’informaticiens, l’entreprise connut une ascension fulgurante en démocratisant notamment les routeurs. Après être devenue l’entreprise la plus chère du monde à la veille de l’explosion de la bulle Internet en 2000 et avoir dû licencier massivement après la crise de 2008, Cisco Systems est aujourd’hui le numéro un mondial de la conception, du développement et de la commercialisation d’équipements réseaux pour internet, constituant la majorité de son activité.
Elle est dirigée par Chuck Robbins depuis juillet 2015. Son prédécesseur, John Chambers, était en fonction depuis 1995 et est président du conseil d'administration depuis novembre 2006..
"
Cisco Networking,"Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, and Jasper. Cisco is one of the largest technology companies in the world ranking 74 on the Fortune 100 with over $51 billion in revenue and nearly 80,000 employees.Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists who had been instrumental in connecting computers at Stanford. They pioneered the concept of a local area network (LAN) being used to connect distant computers over a multiprotocol router system. By the time the company went public in 1990, Cisco had a market capitalization of $224 million; by the end of the dot-com bubble in the year 2000, this had increased to $500 billion, surpassing Microsoft as the world's most valuable company. As of December 2021, Cisco had a market capitalization of around $267 billion.Cisco stock (CSCO) was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index.In 2021, Fortune ranked Cisco number one for the second year on their annual list of the 100 Best Companies to Work For based on employee satisfaction surveying. LinkedIn and Glassdoor also ranked Cisco as a top place to work in 2021 and recent years.

.
"
Cisco Routers,"Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, and Jasper. Cisco is one of the largest technology companies in the world ranking 74 on the Fortune 100 with over $51 billion in revenue and nearly 80,000 employees.Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists who had been instrumental in connecting computers at Stanford. They pioneered the concept of a local area network (LAN) being used to connect distant computers over a multiprotocol router system. By the time the company went public in 1990, Cisco had a market capitalization of $224 million; by the end of the dot-com bubble in the year 2000, this had increased to $500 billion, surpassing Microsoft as the world's most valuable company. As of December 2021, Cisco had a market capitalization of around $267 billion.Cisco stock (CSCO) was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index.In 2021, Fortune ranked Cisco number one for the second year on their annual list of the 100 Best Companies to Work For based on employee satisfaction surveying. LinkedIn and Glassdoor also ranked Cisco as a top place to work in 2021 and recent years.

.
"
Cisco Systems Products,"Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, and Jasper. Cisco is one of the largest technology companies in the world ranking 74 on the Fortune 100 with over $51 billion in revenue and nearly 80,000 employees.Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists who had been instrumental in connecting computers at Stanford. They pioneered the concept of a local area network (LAN) being used to connect distant computers over a multiprotocol router system. By the time the company went public in 1990, Cisco had a market capitalization of $224 million; by the end of the dot-com bubble in the year 2000, this had increased to $500 billion, surpassing Microsoft as the world's most valuable company. As of December 2021, Cisco had a market capitalization of around $267 billion.Cisco stock (CSCO) was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index.In 2021, Fortune ranked Cisco number one for the second year on their annual list of the 100 Best Companies to Work For based on employee satisfaction surveying. LinkedIn and Glassdoor also ranked Cisco as a top place to work in 2021 and recent years.

.
"
Cisco Technologies,"Cisco Systems est une entreprise informatique américaine spécialisée, à l’origine, dans le matériel réseau (routeurs et commutateurs ethernet), et depuis 2009 dans les serveurs. Elle s'est depuis largement diversifiée dans les logiciels et notamment la cybersécurité. 
Fondée en 1984 par un couple d’informaticiens, l’entreprise connut une ascension fulgurante en démocratisant notamment les routeurs. Après être devenue l’entreprise la plus chère du monde à la veille de l’explosion de la bulle Internet en 2000 et avoir dû licencier massivement après la crise de 2008, Cisco Systems est aujourd’hui le numéro un mondial de la conception, du développement et de la commercialisation d’équipements réseaux pour internet, constituant la majorité de son activité.
Elle est dirigée par Chuck Robbins depuis juillet 2015. Son prédécesseur, John Chambers, était en fonction depuis 1995 et est président du conseil d'administration depuis novembre 2006..
"
